
=== New Processing Session Started at: 2025-11-14 14:03:47 ===
SUCCESS | Fetched 79 persons from API
1 | SUCCESS | Transaction added for nan - amount: 173000000
2 | SUCCESS | Transaction added for nan - amount: 19512000
3 | SUCCESS | Transaction added for nan - amount: 12200
4 | SUCCESS | Transaction added for nan - amount: 15238000
5 | SUCCESS | Transaction added for nan - amount: 12200
6 | SUCCESS | Transaction added for محسن خانگاه - amount: 40070000
7 | SUCCESS | Transaction added for nan - amount: 21800
8 | SUCCESS | Transaction added for nan - amount: 15600000
9 | SUCCESS | Transaction added for نيره منتظري - amount: 30000000
10 | SUCCESS | Transaction added for حجت عابدي - amount: 30000000
11 | SUCCESS | Transaction added for nan - amount: 23050000
12 | SUCCESS | Transaction added for nan - amount: 450000
13 | SUCCESS | Transaction added for nan - amount: 1200000
14 | SUCCESS | Transaction added for nan - amount: 181000000
15 | SUCCESS | Transaction added for nan - amount: 2000000
16 | SUCCESS | Transaction added for nan - amount: 15600000
17 | SUCCESS | Transaction added for nan - amount: 33874000
18 | SUCCESS | Transaction added for nan - amount: 1800
19 | SUCCESS | Transaction added for nan - amount: 3600000
20 | SUCCESS | Transaction added for nan - amount: 9000
21 | SUCCESS | Transaction added for nan - amount: 18882000
22 | SUCCESS | Transaction added for nan - amount: 12200
23 | SUCCESS | Transaction added for nan - amount: 13340000
24 | SUCCESS | Transaction added for nan - amount: 12200
25 | SUCCESS | Transaction added for محسن خانگاه - amount: 36260000
26 | SUCCESS | Transaction added for nan - amount: 18600
27 | SUCCESS | Transaction added for nan - amount: 9600000
28 | SUCCESS | Transaction added for nan - amount: 9000
29 | SUCCESS | Transaction added for nan - amount: 1800
30 | SUCCESS | Transaction added for جواد ابراهيميان - amount: 30000000
31 | SUCCESS | Transaction added for محمد مومني - amount: 3500000
32 | SUCCESS | Transaction added for nan - amount: 9000
33 | SUCCESS | Transaction added for nan - amount: 137000000
34 | SUCCESS | Transaction added for محسن خانگاه - amount: 32380000
35 | SUCCESS | Transaction added for nan - amount: 18600
36 | SUCCESS | Transaction added for nan - amount: 19461600
37 | SUCCESS | Transaction added for nan - amount: 12200
38 | SUCCESS | Transaction added for nan - amount: 18010000
39 | SUCCESS | Transaction added for nan - amount: 12200
40 | SUCCESS | Transaction added for محمد کوچکي - amount: 13000000
41 | SUCCESS | Transaction added for nan - amount: 12200
42 | SUCCESS | Transaction added for nan - amount: 26400000
43 | SUCCESS | Transaction added for nan - amount: 500000
44 | SUCCESS | Transaction added for nan - amount: 10909000
45 | SUCCESS | Transaction added for nan - amount: 1800
46 | SUCCESS | Transaction added for nan - amount: 5000000
47 | SUCCESS | Transaction added for nan - amount: 2350000
48 | SUCCESS | Transaction added for nan - amount: 20000000
49 | SUCCESS | Transaction added for nan - amount: 23000000
50 | SUCCESS | Transaction added for nan - amount: 120000000
51 | SUCCESS | Transaction added for جواد ابراهيميان - amount: 15000000
52 | SUCCESS | Transaction added for nan - amount: 12200
53 | SUCCESS | Transaction added for nan - amount: 19411200
54 | SUCCESS | Transaction added for nan - amount: 12200
55 | SUCCESS | Transaction added for محسن خانگاه - amount: 29990000
56 | SUCCESS | Transaction added for nan - amount: 15400
57 | SUCCESS | Transaction added for nan - amount: 8400000
58 | SUCCESS | Transaction added for nan - amount: 1600000
59 | SUCCESS | Transaction added for nan - amount: 1800
60 | SUCCESS | Transaction added for nan - amount: 550000
61 | SUCCESS | Transaction added for nan - amount: 117000000
62 | SUCCESS | Transaction added for nan - amount: 15600000
63 | SUCCESS | Transaction added for nan - amount: 2000000
64 | SUCCESS | Transaction added for nan - amount: 1550000
65 | SUCCESS | Transaction added for nan - amount: 12000000
66 | SUCCESS | Transaction added for nan - amount: 1300000
67 | SUCCESS | Transaction added for nan - amount: 250000
68 | SUCCESS | Transaction added for nan - amount: 42320000
69 | SUCCESS | Transaction added for nan - amount: 3750000
70 | SUCCESS | Transaction added for nan - amount: 26009550
71 | SUCCESS | Transaction added for nan - amount: 15400
72 | SUCCESS | Transaction added for عليرضا سيد ابادي - amount: 55000000
73 | SUCCESS | Transaction added for nan - amount: 25000
74 | SUCCESS | Transaction added for nan - amount: 500000
75 | SUCCESS | Transaction added for nan - amount: 90000000
76 | SUCCESS | Transaction added for nan - amount: 20000000
77 | SUCCESS | Transaction added for nan - amount: 100000000
78 | SUCCESS | Transaction added for nan - amount: 23000000
79 | SUCCESS | Transaction added for nan - amount: 8740000
80 | SUCCESS | Transaction added for nan - amount: 9000
81 | SUCCESS | Transaction added for nan - amount: 19000800
82 | SUCCESS | Transaction added for nan - amount: 12200
83 | SUCCESS | Transaction added for nan - amount: 5200000
84 | SUCCESS | Transaction added for nan - amount: 5000000
85 | SUCCESS | Transaction added for nan - amount: 1800
86 | SUCCESS | Transaction added for محمد مومني - amount: 3500000
87 | SUCCESS | Transaction added for nan - amount: 9000
88 | SUCCESS | Transaction added for nan - amount: 1800
89 | SUCCESS | Transaction added for nan - amount: 169000000
90 | SUCCESS | Transaction added for nan - amount: 1800
91 | SUCCESS | Transaction added for محسن خانگاه - amount: 37730000
92 | SUCCESS | Transaction added for nan - amount: 18600
93 | SUCCESS | Transaction added for nan - amount: 19616400
94 | SUCCESS | Transaction added for nan - amount: 12200
95 | SUCCESS | Transaction added for محمد کوچکي - amount: 15600000
96 | SUCCESS | Transaction added for nan - amount: 12200
97 | SUCCESS | Transaction added for nan - amount: 1450000
98 | SUCCESS | Transaction added for nan - amount: 1800
99 | SUCCESS | Transaction added for nan - amount: 100000000
100 | SUCCESS | Transaction added for nan - amount: 1800
101 | SUCCESS | Transaction added for nan - amount: 12650000
102 | SUCCESS | Transaction added for nan - amount: 12200
103 | SUCCESS | Transaction added for nan - amount: 1800
